id,task,status,priority,notes,phase
summary,"SUMMARY (auto-generated overview row; not a real task -- id fails the task-id pattern [0-9]+[a-z0-9]*, so the scheduler skips every row in this block; regenerate by re-running the script that produced it, do not hand-edit). Total tasks: 512. By status: blocked=2, decomposed=50, done=429, todo=31.",done,,auto-generated summary row; not scheduled,
summary-p0,"SUMMARY - Phase 0 - Foundation: 25/25 done (todo 0, decomposed 0, review 0, blocked 0)",done,,auto-generated summary row; not scheduled,
summary-p1,"SUMMARY - Phase 1 - Identity & Customer: 46/46 done (todo 0, decomposed 0, review 0, blocked 0)",done,,auto-generated summary row; not scheduled,
summary-p2,"SUMMARY - Phase 2 - Catalog & Serviceability: 67/72 done (todo 0, decomposed 3, review 0, blocked 2)",done,,auto-generated summary row; not scheduled,
summary-p3,"SUMMARY - Phase 3 - Booking Core: 47/56 done (todo 0, decomposed 9, review 0, blocked 0)",done,,auto-generated summary row; not scheduled,
summary-p4,"SUMMARY - Phase 4 - Payments & Financial: 40/46 done (todo 0, decomposed 6, review 0, blocked 0)",done,,auto-generated summary row; not scheduled,
summary-p5,"SUMMARY - Phase 5 - Post-Booking: 40/47 done (todo 0, decomposed 7, review 0, blocked 0)",done,,auto-generated summary row; not scheduled,
summary-p6,"SUMMARY - Phase 6 - Admin Panel: 104/119 done (todo 0, decomposed 15, review 0, blocked 0)",done,,auto-generated summary row; not scheduled,
summary-p7,"SUMMARY - Phase 7 - Partner: 21/25 done (todo 0, decomposed 4, review 0, blocked 0)",done,,auto-generated summary row; not scheduled,
summary-p8,"SUMMARY - Phase 8 - Hardening & Launch: 32/38 done (todo 0, decomposed 6, review 0, blocked 0)",done,,auto-generated summary row; not scheduled,
summary-p9,"SUMMARY - Phase 9 - Referral & Growth: 7/16 done (todo 9, decomposed 0, review 0, blocked 0)",done,,auto-generated summary row; not scheduled,
summary-p10,"SUMMARY - Phase 10 - Product Enhancements: 0/22 done (todo 22, decomposed 0, review 0, blocked 0)",done,,auto-generated summary row; not scheduled,
summary-note,"Phase order changed 2026-07-31: Partner (was Phase 8, deferred) now runs as Phase 7, before Hardening & Launch (now Phase 8). Phase 9 is Referral & Growth (#155-176). Phase 10 is Product Enhancements (#177-198): subscriptions, recurring bookings, in-app chat, service completion verification. This block is a snapshot and drifts quickly under active concurrent automation -- see TASKS-SUMMARY.md or run tasklib.py counts for current numbers.",done,,auto-generated summary row; not scheduled,
1,Solution - Repair solution and project wiring: Verify Nestly.sln includes all projects; set project references: APIs -> Application -> Domain; Infrastructure -> Application/Domain; BuildingBlocks referenced by all,done,high,,Phase 0 - Foundation
2,Solution - Remove WeatherForecast template code: Delete template controllers/models from ConsumerApi and AdminApi,done,high,depends on #1,Phase 0 - Foundation
3,BuildingBlocks - Implement Result and Error primitives: Result<T> / error taxonomy (Validation Business Infrastructure Unexpected) per CLAUDE.md error categories,done,high,depends on #1,Phase 0 - Foundation
4,BuildingBlocks - Implement domain base primitives: Base Entity; AggregateRoot; ValueObject; domain event abstractions,done,high,depends on #1,Phase 0 - Foundation
5,BuildingBlocks - Global exception handling middleware: ProblemDetails error contract; never expose stack traces; consistent error responses across both APIs,done,high,depends on #3,Phase 0 - Foundation
6,BuildingBlocks - Structured logging with correlation IDs: Serilog structured logging; correlation ID middleware; enforce no-PII/no-secrets logging rules,done,high,depends on #1,Phase 0 - Foundation
7,BuildingBlocks - Request validation pipeline: FluentValidation integration; automatic 400 responses with field-level errors,done,high,depends on #3,Phase 0 - Foundation
8,Database - EF Core + PostgreSQL setup: Npgsql provider; DbContext; snake_case naming convention; connection resiliency; base entity configuration (audit columns),done,high,depends on #1,Phase 0 - Foundation
9a,Review NestlyDbContext configuration to understand current entity classes and verify which models lack migration scaffolding in database/migrations/,done,high,"reset: audited against actual code, found false - no migration has ever been generated (database/migrations/ has only .gitkeep); apply script exists but nothing to apply. Not done. | verified 2026-07-27 by claude-code (manual implementation, model kept timing out) - see docs/migrations-audit.md",Phase 0 - Foundation
9b,"Create a list or spec document mapping domain entities (Service, ServiceAddOn, Catalog items from Schema) expected for initial migrations based on the project specification",done,high,depends on #9a | verified 2026-07-27 by claude-code (manual implementation) - see docs/migrations-plan.md,Phase 0 - Foundation
9c,Generate EF Core migration files via dotnet ef that create all missing table mappings to database/migrations directory,done,high,depends on #9b | verified 2026-07-27 by claude-code | re-verified 2026-07-27: fixed a real bug where migrations were never actually compiled into Infrastructure.dll (csproj glob excluded database/migrations/); regenerated and confirmed with a live dotnet ef database update against Postgres,Phase 0 - Foundation
10,DevOps - Health check endpoints: Liveness + readiness (DB/Redis) endpoints on both APIs per DEVOPS.md,done,high,depends on #8,Phase 0 - Foundation
11,API - API versioning and OpenAPI: Versioned route convention (/api/v1); OpenAPI/Swagger UI in development for both APIs,done,high,depends on #1,Phase 0 - Foundation
12,DevOps - Dockerfiles for both APIs: Multi-stage builds; non-root user; pinned base images,done,high,depends on #1,Phase 0 - Foundation
13,DevOps - docker-compose for local development: Compose file: consumer-api; admin-api; PostgreSQL; Redis with env-based config,done,high,depends on #12,Phase 0 - Foundation
14,DevOps - CI pipeline: Build; unit tests; integration tests (disposable Postgres/Redis); analyzers/lint on every PR,done,high,depends on #13,Phase 0 - Foundation
15,Frontend - Scaffold customer-web Next.js app: TypeScript; ESLint; base layout; API client setup; env config,done,high,,Phase 0 - Foundation
16,Frontend - Scaffold admin-web Next.js app: TypeScript; ESLint; base layout; API client setup; env config,done,high,,Phase 0 - Foundation
17a,"Design and define the IDistributedCache abstraction interface with typed cache key methods (cache<T> patterns, session-aware operations)",done,high,"reset: audited against actual code, found false - no evidence found: no IDistributedCache/Redis usage anywhere in backend/. Not done. | verified 2026-07-27 by claude-code (manual) - ICacheService typed abstraction in Application/Abstractions/Caching. NOTE: task text said ""IDistributedCache abstraction""; implemented as our own ICacheService over IDistributedCache so app code never binds to the framework type.",Phase 0 - Foundation
17b,Implement RedisClient caching client class against StackExchange.Redis connection factory for production infrastructure,done,high,"depends on #17a | verified 2026-07-27 by claude-code (manual) - DistributedCacheService over Microsoft.Extensions.Caching.StackExchangeRedis. NOTE: task text said ""RedisClient class against StackExchange.Redis connection factory""; hand-rolling a Redis client was rejected in favour of the supported provider. Runtime-verified against real Redis (62 cmds, 2 hits/4 misses).",Phase 0 - Foundation
17c,Create DI registration module in backend that configures Scoped lifetime redis provider + optional fallback to ISystem.Web.Caching.IDistributedCache,done,high,"depends on #17b | verified 2026-07-27 by claude-code (manual) - CachingRegistration: Redis when Cache:ConnectionString set, AddDistributedMemoryCache fallback otherwise, plus Redis health check on the ready probe. NOTE: task text named ""ISystem.Web.Caching.IDistributedCache"" which is not a real type; used the real IDistributedCache. Registered Singleton (correct lifetime) not Scoped as the task text said.",Phase 0 - Foundation
17d,"Build catalog-specific cache helper (GetCatalogEntry<T>, StoreOfferMetadata, IncrementViewCounter) and session state utilities (StartSessionForUser, EndActivityTracking)",done,high,"depends on #17c | verified 2026-07-27 by claude-code (manual) - CacheKeys deterministic key vocabulary for catalog + session (the real T017 requirement). PARTIAL vs task text: GetCatalogEntry/StoreOfferMetadata/IncrementViewCounter/StartSessionForUser/EndActivityTracking were NOT built - those names came from an auto-generated decomposition and reference domain concepts (offers, view counters, activity tracking) that do not exist in Phase 0.",Phase 0 - Foundation
18,Infrastructure - Hangfire background job setup: Hangfire server + dashboard (admin-only) + retry conventions,done,high,"reset: audited against actual code, found false - no evidence found: zero references to Hangfire anywhere in backend/. Not done. | verification failed: 2026-07-27 21:43:44 | verified 2026-07-27 by claude-code (manual) - Hangfire.AspNetCore + Hangfire.PostgreSql. Runtime-verified against real Postgres: schema provisioned (12 tables), server heartbeats, enqueued job reached Succeeded, retry filter confirmed active via logs (""Retry attempt 1 of 5 in 00:00:10"", ""attempt 2 of 5 in 00:01:00"" = configured backoff, not defaults). Dashboard admin-only: returns 401 anonymous on admin API, 404 on consumer API. Discarded the local models fabricated attempt (UseSqlServerStorage in a Postgres project, nonexistent client.RetryAll/AddHangfireDashboard APIs).",Phase 0 - Foundation
19,Configuration - Strongly typed configuration: Options pattern per module; Development/Testing/Staging/Production env files; user-secrets for local,done,high,"reset: audited against actual code, found false - no evidence found: no IOptions<>/services.Configure<> usage anywhere in backend/. Not done. | verified 2026-07-27 by claude-code (manual implementation, model kept timing out)",Phase 0 - Foundation
20,Audit - Audit log infrastructure: audit_log table + audit writer abstraction capturing actor; entity; action; old/new values; timestamp; IP (SRS 21),done,high,"reset: audited against actual code, found false - only column-stamping exists (IAuditable + AuditableEntityInterceptor set CreatedOnUtc/ModifiedOnUtc) - real but much narrower than the task: no audit_log table, no writer capturing actor/entity/action/old-new-values/IP. Not done as scoped. | verified 2026-07-27 by claude-code (manual) - audit_log table (jsonb old/new values, 3 indexes incl. DESC on occurred_on_utc) applied against real Postgres via dotnet ef database update. IAuditLogWriter enlists in the caller unit of work; runtime-verified: not persisted before SaveChanges, persisted after, and rolls back with its transaction. Append-only entity, System attribution outside a request.",Phase 0 - Foundation
21,Identity - Customer identity schema: Tables: customer; customer_auth_identity; customer_session; customer_otp with status fields (SRS 23.1),done,high,"reset: audited against actual code, found false - Customer.cs class exists but has ZERO EF configuration (only SupportTicketCommentConfiguration exists in the whole Configurations folder) so it isn't even mapped into the DB model yet; customer_auth_identity/customer_session/customer_otp tables do not exist at all. Not done. | verified 2026-07-27 by claude-code (manual implementation) - CustomerAuthIdentity/CustomerSession/CustomerOtp added, migration applied against real Postgres",Phase 1 - Identity & Customer
22,Identity - Customer aggregate and account rules: Customer domain model: status (active/blocked/unverified/soft-deleted); uniqueness rules for mobile/email,done,high,"reset: audited against actual code, found false - Customer.cs has a Status enum (Active/Blocked/Unverified/SoftDeleted) matching the spec, but zero uniqueness enforcement for mobile/email and zero persistence (see #21). Partial credit only - not done as scoped. | verified 2026-07-27 by claude-code (manual implementation) - runtime-smoke-tested uniqueness enforcement against real Postgres via real DI",Phase 1 - Identity & Customer
23,Identity - OTP service: OTP generation/validation with expiry; retry limits; abuse control (SRS 11.2.1; 28.1),done,high,"reset: audited against actual code, found false - OTPService.cs contains ONLY an interface (IOTPService) with two method signatures - zero implementation, no generation/validation logic, no expiry/retry/abuse-control. Not done. | verified 2026-07-27 by claude-code (manual implementation) - runtime-smoke-tested generate/validate/cooldown/retry-limit/expiry against real Postgres",Phase 1 - Identity & Customer
24,Identity - Registration API: Mobile+OTP registration; configurable email+password mode; consent capture (SRS 11.2.1),done,high,"reset: audited against actual code, found false - zero controllers exist anywhere in backend/ (Controllers/ folders are empty in both ConsumerApi and AdminApi). Not done. | needs human — reserved: same-shape invention task as #30/#31 (no controller pattern exists yet in this repo); attempting it before the reference pattern lands risks a second, inconsistent convention; do not retry; scheduled ~03:30 | Implemented by hand: first controller (AuthController) - POST /api/v1/auth/registration/otp + /registration, mobile+OTP always-available per SRS 11.2.1, optional email+password gated by AccountOptions. Runtime-smoke-tested against real Postgres: success path, duplicate mobile, OTP reuse, missing consent, bad format all verified correct.",Phase 1 - Identity & Customer
25,Identity - Login and JWT issuance: Login via OTP or email/password; JWT access+refresh tokens; session invalidation on logout (SRS 11.2.2),done,high,"reset: audited against actual code, found false - zero controllers exist; no JWT issuance code found anywhere. Not done. | needs human — reserved: same-shape invention task as #30/#31 (no controller pattern exists yet in this repo); attempting it before the reference pattern lands risks a second, inconsistent convention; do not retry; scheduled ~03:30 | Implemented by hand: POST /api/v1/auth/login/otp, /login/otp/verify, /login/password, /refresh, /logout. JWT access token (15min) + opaque refresh token backed by CustomerSession, rotated on refresh, revoked on logout. JwtBearer auth wired into ConsumerApi pipeline. Runtime-smoke-tested against real Postgres: both login modes, refresh rotation + reuse rejection, logout + post-logout refresh rejection, all verified correct.",Phase 1 - Identity & Customer
26,Identity - Login throttling and lockout: Rate limiting on OTP and login attempts; account lockout policy,done,high,"reset: audited against actual code, found false - zero controllers exist; a draft rate_limiting_service.cs sits unintegrated in _salvage/auth-otp-drafts/. Not done. | needs human — reserved: same-shape invention task as #30/#31 (no controller pattern exists yet in this repo); attempting it before the reference pattern lands risks a second, inconsistent convention; do not retry; scheduled ~03:30 | Implemented by hand: IP-based rate limiting (5 OTP/hr, 10 login/15min) via ASP.NET Core's built-in limiter; per-identifier account lockout (login_attempt table, 5 failures/15min blocks further attempts even with correct credentials). Runtime-smoke-tested against real Postgres: lockout triggered and verified blocking correct password, rate limiter 429 confirmed.",Phase 1 - Identity & Customer
27,Identity - Forgot/reset password flow: Reset with verification when password auth is enabled,done,high,"reset: audited against actual code, found false - zero controllers exist. Not done. | 2026-07-27: autopilot-local falsely marked this done - code referenced nonexistent types (IUserRepository, User entity), logged the OTP in plaintext, never hashed the password, and sat in fictional folders outside any .csproj so dotnet build ignored it. Reverted. | 2026-07-27 retry: produced NO source files (commit touched only .gitignore/tasks.csv) yet reached review - empty-diff guard was defeated by the worker's own .gitignore write; guard fixed. | timed out: 2026-07-27 22:44:34 | superseded: decomposed into subtasks",Phase 1 - Identity & Customer
27a,Implement the logic to handle password reset requests.,done,high,"manually implemented and verified: dotnet build succeeded, 69 unit tests passed, and a live end-to-end run against Postgres exercised registration, login, profile view/edit, mobile+email re-verification, communication preferences, address CRUD, and forgot/reset password with session revocation (2026-07-28)",Phase 1 - Identity & Customer
27b,Create a verification mechanism for resetting the password.,done,high,"depends on #27a | manually implemented and verified: dotnet build succeeded, 69 unit tests passed, and a live end-to-end run against Postgres exercised registration, login, profile view/edit, mobile+email re-verification, communication preferences, address CRUD, and forgot/reset password with session revocation (2026-07-28)",Phase 1 - Identity & Customer
27c,Integrate the verification process with the existing authentication system.,done,high,"depends on #27b | manually implemented and verified: dotnet build succeeded, 69 unit tests passed, and a live end-to-end run against Postgres exercised registration, login, profile view/edit, mobile+email re-verification, communication preferences, address CRUD, and forgot/reset password with session revocation (2026-07-28)",Phase 1 - Identity & Customer
27d,Test the entire flow to ensure it works as expected.,done,high,"depends on #27c | manually implemented and verified: dotnet build succeeded, 69 unit tests passed, and a live end-to-end run against Postgres exercised registration, login, profile view/edit, mobile+email re-verification, communication preferences, address CRUD, and forgot/reset password with session revocation (2026-07-28)",Phase 1 - Identity & Customer
28,Customer - Profile APIs: Get/update profile; change mobile/email with re-verification; communication preferences (SRS 11.2.3),done,high,"reset: audited against actual code, found false - zero controllers exist. Not done. | timed out: 2026-07-27 22:44:34 | superseded: decomposed into subtasks",Phase 1 - Identity & Customer
28a,Implement the `GetProfile` API endpoint to retrieve customer profile information.,done,high,"manually implemented and verified: dotnet build succeeded, 69 unit tests passed, and a live end-to-end run against Postgres exercised registration, login, profile view/edit, mobile+email re-verification, communication preferences, address CRUD, and forgot/reset password with session revocation (2026-07-28)",Phase 1 - Identity & Customer
28b,Create the `UpdateProfile` API endpoint for updating customer profile details.,done,high,"depends on #28a | manually implemented and verified: dotnet build succeeded, 69 unit tests passed, and a live end-to-end run against Postgres exercised registration, login, profile view/edit, mobile+email re-verification, communication preferences, address CRUD, and forgot/reset password with session revocation (2026-07-28)",Phase 1 - Identity & Customer
28c,Develop the `ChangeMobile` API endpoint with re-verification process.,done,high,"depends on #28b | manually implemented and verified: dotnet build succeeded, 69 unit tests passed, and a live end-to-end run against Postgres exercised registration, login, profile view/edit, mobile+email re-verification, communication preferences, address CRUD, and forgot/reset password with session revocation (2026-07-28)",Phase 1 - Identity & Customer
28d,Build the `ChangeEmail` API endpoint including re-verification logic.,done,high,"depends on #28c | manually implemented and verified: dotnet build succeeded, 69 unit tests passed, and a live end-to-end run against Postgres exercised registration, login, profile view/edit, mobile+email re-verification, communication preferences, address CRUD, and forgot/reset password with session revocation (2026-07-28)",Phase 1 - Identity & Customer
28x4,Design and implement communication preferences management APIs.,done,high,"depends on #28d | manually implemented and verified: dotnet build succeeded, 69 unit tests passed, and a live end-to-end run against Postgres exercised registration, login, profile view/edit, mobile+email re-verification, communication preferences, address CRUD, and forgot/reset password with session revocation (2026-07-28)",Phase 1 - Identity & Customer
29,Customer - Address schema: customer_address table with lat/long contact fields and default flag (SRS 11.3.2),done,high,"reset: audited against actual code, found false - no Address domain entity or EF configuration exists anywhere in backend/, despite frontend address screens existing (see #34). Not done. | needs human — reserved: same-shape invention task as #30/#31 (no controller pattern exists yet in this repo); attempting it before the reference pattern lands risks a second, inconsistent convention; do not retry; scheduled ~03:30 | Implemented by hand: customer_address table (SRS 11.3.2 fields), migration applied and verified against real Postgres with psql d, partial-unique default-per-customer index confirmed.",Phase 1 - Identity & Customer
